trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
171,False,"{'a': 0.99, 'e': 0.013679422728360861}",20,12,14.556437554770927,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.99, 'e': 0.013520822065981613}",30,16,11.381497184609907,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.99, 'e': 0.013364963747535834}",30,16,2.8690524673400923,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
174,False,"{'a': 0.99, 'e': 0.013211784912141629}",20,11,17.35530078314965,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.99, 'e': 0.013061224489795919}",20,12,0.5842913157820209,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.99, 'e': 0.012913223140495866}",20,0,30.53367654487252,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
177,False,"{'a': 0.99, 'e': 0.012767723195761117}",20,14,10.751518910827272,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.99, 'e': 0.012624668602449185}",30,8,37.70587172653743,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.99, 'e': 0.012484004868761896}",20,12,10.81175088223636,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.99, 'e': 0.012345679012345678}",20,12,14.182345225046884,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.99, 'e': 0.012209639510393453}",20,14,11.43805008885924,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.99, 'e': 0.01207583625166043}",20,10,12.880201461259098,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.99, 'e': 0.01194422049031025}",25,12,-19.68103696896977,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
184,False,"{'a': 0.99, 'e': 0.011814744801512286}",30,19,19.899473595660645,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
